,axis:time0_lat_lon:latitude,axis:time0_lat_lon:longitude,axis:time0_lat_lon:time,axis:time0_lat_ocean_lon_ocean:latitude,axis:time0_lat_ocean_lon_ocean:longitude,axis:time0_lat_ocean_lon_ocean:time,axis:time1_lat_lon:latitude,axis:time1_lat_lon:longitude,axis:time1_lat_lon:time,data:air_pressure_at_mean_sea_level,data:air_temperature_at_2_metres,data:air_temperature_at_2_metres_1hour_Maximum,data:air_temperature_at_2_metres_1hour_Minimum,data:dew_point_temperature_at_2_metres,data:eastward_wind_at_100_metres,data:eastward_wind_at_10_metres,data:integral_wrt_time_of_surface_direct_downwelling_shortwave_flux_in_air_1hour_Accumulation,data:lwe_thickness_of_surface_snow_amount,data:northward_wind_at_100_metres,data:northward_wind_at_10_metres,data:precipitation_amount_1hour_Accumulation,data:sea_surface_temperature,data:sea_surface_wave_from_direction,data:sea_surface_wave_mean_period,data:significant_height_of_wind_and_swell_waves,data:snow_density,data:surface_air_pressure
0,15.5,-15.500000000000028,1979-01-01T00:00:00,,,,,,,101248.75,297.125,,,274.4375,-7.6875,-3.375,,0.0,-4.8125,-2.4375,,,,,,100.0,100772.171875
1,15.5,-15.500000000000028,1979-01-01T01:00:00,,,,,,,101189.4375,297.125,,,274.5,-8.25,-3.75,,0.0,-4.4375,-2.375,,,,,,100.0,100713.0078125
2,15.5,-15.500000000000028,1979-01-01T02:00:00,,,,,,,101149.5,297.125,,,274.375,-8.4375,-3.9375,,0.0,-4.125,-2.1875,,,,,,100.0,100672.4453125
3,15.5,-15.500000000000028,1979-01-01T03:00:00,,,,,,,101116.5625,294.25,,,272.1875,-8.3125,-3.875,,0.0,-3.8125,-2.0625,,,,,,100.0,100639.703125
4,15.5,-15.500000000000028,1979-01-01T04:00:00,,,,,,,101108.375,294.0625,,,272.125,-8.125,-3.875,,0.0,-3.75,-2.0625,,,,,,100.0,100630.359375
5,15.5,-15.500000000000028,1979-01-01T05:00:00,,,,,,,101161.0,293.8125,,,272.125,-7.9375,-3.6875,,0.0,-3.5625,-1.9375,,,,,,100.0,100682.2421875
6,15.5,-15.500000000000028,1979-01-01T06:00:00,,,,,,,101210.1875,293.3125,,,271.9375,-7.8125,-3.5625,,0.0,-3.5625,-1.9375,,,,,,100.0,100731.0
7,15.5,-15.500000000000028,1979-01-01T07:00:00,,,,,,,101261.25,293.3125,,,271.9375,-7.9375,-3.6875,,0.0,-3.6875,-2.0625,,,,,,100.0,100781.03125
8,15.5,-15.500000000000028,1979-01-01T08:00:00,,,,,,,101307.125,293.3125,,,271.75,-8.125,-4.0,,0.0,-3.5625,-2.0,,,,,,100.0,100826.640625
9,15.5,-15.500000000000028,1979-01-01T09:00:00,,,,,,,101383.0,296.25,,,267.375,-8.0,-4.6875,,0.0,-3.0625,-2.0,,,,,,100.0,100901.671875
10,15.5,-15.500000000000028,1979-01-01T10:00:00,,,,,,,101422.6875,303.375,,,270.4375,-7.125,-5.25,,0.0,-2.3125,-1.75,,,,,,100.0,100941.609375
11,15.5,-15.500000000000028,1979-01-01T11:00:00,,,,,,,101367.8125,304.0625,,,271.1875,-7.625,-5.8125,,0.0,-2.0625,-1.625,,,,,,100.0,100889.34375
12,15.5,-15.500000000000028,1979-01-01T12:00:00,,,,,,,101327.8125,304.3125,,,271.6875,-7.375,-5.75,,0.0,-2.0,-1.5625,,,,,,100.0,100850.3125
13,15.5,-15.500000000000028,1979-01-01T13:00:00,,,,,,,101205.875,304.5625,,,272.0,-7.0625,-5.5,,0.0,-2.1875,-1.6875,,,,,,100.0,100730.75
14,15.5,-15.500000000000028,1979-01-01T14:00:00,,,,,,,101096.8125,304.6875,,,272.3125,-6.8125,-5.375,,0.0,-2.5,-1.9375,,,,,,100.0,100622.890625
